id,text,label
00000_03514,"Чернигов прилет во многоэтажку. Говорят русская ракета, но сейчас хз, город ведь под контролем РФ. Люди прячьтесь в подвалы, таких случаев может быть много!",True
00002_06059,"Председатель Следственного комитета РФ Александр Бастрыкин поручил проверить информацию об обстрелах украинскими силовиками станицы в Краснодарском крае, где, по данным СМИ, пострадали три человека, и инцидента в Ростовской области. Протестующие у посольства России в Ирландии против спецоперации на Украине повредили машину одного из дипломатов, однако не срывали герб с ворот диппредставительства, уточнил представитель посольства.",True
00003_08645,Все сейчас массово хотят уехать со Львова.,True
00004_00901,"«К военным подошли бабушки и попросили убрать «Аллею славы героев Украины», сказали: «Мы ждали 8 лет вас, и дождались наконец». Ничто человеческое не чуждо и военным, они сразу же сравнили цены в магазинах с Луганском. И прямо при нас Станица Луганская перешла с гривен на рубли. Сейчас на переходе оживленное движение. Люди идут и из Станицы Луганской, и в Станицу Луганскую, и все друг друга поздравляют»: Что происходит в Станице Луганской в первые часы после освобождения",True
00006_06251,"С уважение отношусь к Лобаеву, но Владислав, если у вас есть вопросы к «прославленным» корреспондентам ВГТРК, обращайтесь. Тем более, уверен, знаете как выйти на связь) Растолкую все. А публичную истерику прекратите. Я же вас не учу делать винтовки. https://t.me/lobaev_vlad/1658",True
00008_02932,⚠️ ? Зафиксирован обстрел со стороны ВФУ по направлению: ▶️ 01:15 - н.п. Невельское - н.п. Лозовое: выпущено 3 мины калибром 120 мм;,False
00009_04972,"Минобороны заявило, что обеспечивает безопасность Чернобыльской АЭС совместно с нацгвардией Украины. «С военнослужащими отдельного батальона охраны АЭС национальной гвардии Украины достигнута договорённость о совместном обеспечении безопасности энергоблоков, саркофага и хранилища отработанного ядерного топлива. Персонал АЭС продолжает работы по отслеживанию радиоактивной обстановки и обслуживанию АЭС в штатном режиме». В ведомстве утверждают, что совместная охрана ЧАЭС силами российских десантников и украинских военнослужащих нацелена на предотвращение «ядерных провокаций».",True
00010_01185,Ми-35 ВКС России прикрывает колонну,False
00011_01560,? Ещё видео со зданием СБУ в Чернигове,False
00014_05761,"Блинкен в разговоре с Кулебой заявил, что США продолжат предоставлять Украине помощь для защиты от России, заявили в Госдепе.",False
00016_03611,⚡️ Эдуарб Басурин: Подразделения ДНР взяли под свой контроль населённые пункты Павлополь и Пищевик на Мариупольском направлении,False
00017_00696,"ахеджакова пожертвовала 10 тыс долл украинской армии. Пожертвовала деньги на убийство русских солдат. “Пойдут в правильное, сука, русло»!!!! Млять, что у людей с головами? Что с головами у людей, живущих в России, и ставящих под этим «лайки»? Лишить её гражданства и сбросить на парашюте в Киев. Пусть украинское ПВО поработает, не жалко.",True
00018_08195,⚡️ В Одессе ввели комендантский час,False
00020_03837,"⚡️ Министр обороны США Ллойд Остин говорил со своим украинским коллегой Алексеем Резниковым и пообещал, что США продолжат оказывать оборонительную помощь Киеву перед лицом ""необоснованной и неспровоцированной войны"" России.",False
00022_03040,Утро в Северодонецке (Луганская обл.),False
00023_05221,Разбитая техника ВСУ в Харькове,False
00025_07137,?? Харьков днем. Суровые бои,False
00026_05587,"Специальная военная операция России направлена на то, чтобы остановить милитаризацию Украины, заявила Матвиенко. Спикер Совета Федерации добавила, что РФ просто не оставили другого выбора.",True
00027_09446,Теперь Дудю - пиздец. https://t.me/svezhesti/39387,True
